campaignType,targetAudience,channels,estimatedDurationDays,teamSize,mediaBudget,externalCosts,fixedCosts,mainGoals,keyDeliverables,metrics,dependencies,risks,contingencyPercent,estimatedBudget
"Awareness","B2C","Social|Display",30,4,6000,2000,500,"Notoriété","Visuels;Landing","Impressions;Reach","Aucun","Faible engagement",8,12000
"Acquisition","B2B","LinkedIn|SEA",40,5,19100,3740,1090,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,31200
"Awareness","B2C","Radio|Social",25,3,4500,900,235,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9500
"Retention","SMB","Email|Support",84,2,960,345,122,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4450
"Launch","B2B","Events|PR",122,8,26200,20900,3250,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,77000
"Branding","GenZ","Instagram|UGC",31,4,9450,2150,545,"Notoriété","UGC;Visuels","Views;Engagement","Creators","Rejet",9,15500
"Acquisition","B2C","SEA|Display",29,5,10450,1890,495,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17500
"Awareness","B2B","LinkedIn|Webinar",52,4,6350,2090,445,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14500
"Retention","B2C","Email|SMS",31,3,2250,660,185,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7850
"Launch","SMB","Email|SEA",31,5,15450,3090,745,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26650
"Branding","B2C","OOH|TV",80,7,51500,12350,2630,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,88000
"Acquisition","GenZ","Social|Influencer",28,4,7350,1100,335,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,13150
"Awareness","B2C","Display|Video",41,3,6850,980,285,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,12000
"Retention","Millennials","Email|Social",35,3,3200,780,235,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9700
"Launch","B2B","LinkedIn|Events",60,6,11650,9550,1390,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,35100
"Branding","SMB","Social|Email",41,4,5550,1690,455,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13350
"Acquisition","B2C","SEA|Social",27,5,13050,2300,620,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21200
"Awareness","B2B","PR|LinkedIn",38,3,3600,1220,330,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10200
"Retention","GenZ","App|Push",30,4,3100,670,250,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8600
"Launch","B2C","Social|Influencer",23,6,18050,4400,1175,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,30000
"Acquisition","B2C","SEA|Social",29,5,11800,2400,580,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,17600
"Awareness","B2C","Social|Display",26,4,6800,1400,380,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,10800
"Retention","SMB","Email|CRM",58,2,1400,580,190,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",5,4300
"Launch","B2B","LinkedIn|Events",88,6,13800,9800,1480,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",12,35200
"Branding","GenZ","TikTok|Influencer",34,4,9200,2100,490,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",9,15400
"Acquisition","B2C","SEA|Display",27,5,10800,1750,440,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",8,16200
"Awareness","B2B","PR|LinkedIn",42,3,4800,1150,290,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",7,9200
"Retention","B2C","Email|SMS",21,3,1750,480,150,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5100
"Launch","SMB","Email|SEA",44,5,15800,3400,780,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",11,27600
"Branding","Millennials","Social|Events",59,6,9800,5900,880,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",10,22600
"Acquisition","B2B","LinkedIn|Email",48,5,19600,3900,980,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",12,32000
"Awareness","B2C","Radio|Social",23,3,4400,880,210,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9600
"Retention","SMB","Support|Email",82,2,980,310,115,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4100
"Launch","B2B","Events|PR",118,8,29800,21800,3180,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,80800
"Branding","GenZ","Instagram|Influencer",32,4,8700,1980,510,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,14800
"Acquisition","B2C","SEA|Social",25,5,10300,1680,460,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,16600
"Awareness","B2B","LinkedIn|Webinar",46,4,6900,2050,410,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,13200
"Retention","B2C","App|Push",31,3,2450,680,195,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",6,6700
"Launch","SMB","Social|Influencer",17,6,14800,3950,980,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",12,26600
"Branding","B2C","OOH|Social",53,5,9100,4050,680,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",9,19200
"Acquisition","GenZ","Social|Influencer",23,4,7900,1080,300,"Installs","Ads;Creators","CPI;Engagement","App store","Rejet app",9,12200
"Awareness","B2C","Display|Video",35,3,6100,980,250,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,11000
"Retention","Millennials","Email|Social",33,3,2550,780,205,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",6,9000
"Launch","B2B","LinkedIn|Events",54,6,11300,9300,1280,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",10,33600
"Branding","SMB","Social|Email",36,4,5050,1460,400,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",8,12100
"Acquisition","B2C","SEA|Social",22,6,12400,2020,570,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,19800
"Awareness","B2B","Display|PR",41,3,3800,1160,300,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",7,9800
"Retention","GenZ","App|Social",26,4,2700,640,220,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",6,8100
"Launch","B2C","Social|SEA",19,6,16800,4100,1080,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",12,28800
"Branding","Millennials","Social|PR",56,4,7000,2500,500,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",8,15400
"Acquisition","B2B","LinkedIn|SEA",38,5,18200,3520,1000,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,29800
"Awareness","B2C","TV|Social",72,8,60000,14800,2950,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",15,89200
"Retention","SMB","Email|Webinar",24,2,1550,680,190,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",6,6000
"Launch","B2B","Events|LinkedIn",90,6,14200,10050,1520,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",12,36000
"Branding","GenZ","TikTok|UGC",33,4,9300,2050,500,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",9,15600
"Acquisition","B2C","SEA|Social",28,5,11050,1720,455,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",8,16900
"Awareness","B2B","LinkedIn|Display",45,3,8000,2050,400,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",7,15000
"Retention","B2C","Email|SMS",23,3,1850,510,155,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",6,5300
"Launch","SMB","Email|Events",60,6,12100,9100,1500,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",11,38200
"Branding","B2C","OOH|TV",50,5,9000,4000,700,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",9,19600
"Acquisition","GenZ","Social|Influencer",26,4,8100,1200,310,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",9,12900
"Awareness","B2C","Display|Video",37,3,6300,960,255,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,11300
"Retention","Millennials","Email|Social",32,3,2650,760,210,"Engagement","Offers;Content","Open rate;CTR","CRM","Segmentation",6,9150
"Launch","B2B","LinkedIn|Webinar",52,5,10100,8100,1210,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",10,32200
"Branding","SMB","Social|Email",37,4,5150,1490,415,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Mauvaise cible",8,12400
"Acquisition","B2C","SEA|Social",20,6,12600,2000,580,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour élevé",9,20400
"Awareness","B2B","PR|LinkedIn",33,3,3200,1120,285,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9600
"Retention","GenZ","App|Push",27,4,2850,630,225,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",6,8200
"Launch","B2C","Influencer|Social",18,5,16600,4050,1030,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",12,27800
"Branding","Millennials","Social|Events",61,6,8900,5850,895,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",11,23800
"Acquisition","B2B","LinkedIn|SEA",36,5,18000,3480,995,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,30000
"Awareness","B2C","Radio|Social",21,3,4200,840,205,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9400
"Retention","SMB","Email|Support",78,2,880,305,112,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4050
"Launch","B2B","Events|PR",114,8,24600,20050,3020,"Adoption","Event;PR","Leads;Coverage","Legal","Problème conformité",15,72800
"Branding","GenZ","Instagram|Influencer",31,4,8900,2020,515,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,14900
"Acquisition","B2C","SEA|Display",26,5,10050,1800,470,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17050
"Awareness","B2B","LinkedIn|Webinar",48,4,6000,2000,420,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14000
"Retention","B2C","Email|SMS",29,3,2000,600,165,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7500
"Launch","SMB","Email|SEA",33,5,15050,3000,700,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,25800
"Branding","B2C","OOH|TV",76,7,50400,12050,2560,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86400
"Acquisition","GenZ","Social|Influencer",25,4,7000,1020,300,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12400
"Awareness","B2C","Display|Video",38,3,6500,940,265,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11600
"Retention","Millennials","Email|Social",34,3,2950,740,220,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9300
"Launch","B2B","LinkedIn|Events",56,6,11050,9000,1320,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34000
"Branding","SMB","Social|Email",39,4,5300,1600,430,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12850
"Acquisition","B2C","SEA|Social",24,5,12550,2150,575,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20650
"Awareness","B2B","PR|LinkedIn",35,3,3350,1140,295,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9700
"Retention","GenZ","App|Push",28,4,2920,620,235,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8350
"Launch","B2C","Social|Influencer",20,6,17200,4180,1100,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,28800
"Branding","Millennials","Social|Events",63,6,9050,5950,910,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24100
"Acquisition","B2B","LinkedIn|SEA",37,5,18400,3560,1010,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30400
"Awareness","B2C","Radio|Social",22,3,4300,860,215,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9300
"Retention","SMB","Email|Support",80,2,920,330,118,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4250
"Launch","B2B","Events|PR",120,8,25850,20650,3160,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,74800
"Branding","GenZ","TikTok|Influencer",29,4,9200,2100,520,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15150
"Acquisition","B2C","SEA|Display",25,5,10250,1830,480,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17250
"Awareness","B2B","LinkedIn|Webinar",50,4,6100,2040,425,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14250
"Retention","B2C","Email|SMS",30,3,2100,620,170,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7600
"Launch","SMB","Email|SEA",32,5,15250,3040,725,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26150
"Branding","B2C","OOH|TV",78,7,50900,12180,2590,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87250
"Acquisition","GenZ","Social|Influencer",27,4,7120,1060,310,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12750
"Awareness","B2C","Display|Video",40,3,6750,970,275,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11950
"Retention","Millennials","Email|Social",35,3,3100,770,230,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9600
"Launch","B2B","LinkedIn|Events",58,6,11400,9400,1360,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34750
"Branding","SMB","Social|Email",40,4,5450,1675,445,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13250
"Acquisition","B2C","SEA|Social",26,5,12900,2260,605,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21050
"Awareness","B2B","PR|LinkedIn",37,3,3500,1200,320,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10000
"Retention","GenZ","App|Push",29,4,3050,660,245,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8550
"Launch","B2C","Social|Influencer",22,6,17950,4390,1165,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,30100
"Branding","Millennials","Social|Events",65,6,9200,6150,950,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24450
"Acquisition","B2B","LinkedIn|SEA",39,5,19050,3725,1085,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,31350
"Awareness","B2C","Radio|Social",24,3,4450,890,235,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9550
"Retention","SMB","Email|Support",84,2,960,345,122,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4450
"Launch","B2B","Events|PR",122,8,26300,20950,3260,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,77200
"Branding","GenZ","Instagram|UGC",31,4,9450,2150,545,"Notoriété","UGC;Visuels","Views;Engagement","Creators","Rejet",9,15550
"Acquisition","B2C","SEA|Display",29,5,10400,1880,495,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17550
"Awareness","B2B","LinkedIn|Webinar",52,4,6400,2080,445,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14550
"Retention","B2C","Email|SMS",31,3,2250,665,185,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7850
"Launch","SMB","Email|SEA",31,5,15400,3085,745,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26600
"Branding","B2C","OOH|TV",80,7,51600,12300,2640,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,88200
"Acquisition","GenZ","Social|Influencer",28,4,7300,1090,335,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,13100
"Awareness","B2C","Display|Video",41,3,6900,990,285,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,12100
"Retention","Millennials","Email|Social",36,3,3250,790,240,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9800
"Launch","B2B","LinkedIn|Events",60,6,11700,9600,1400,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,35300
"Branding","SMB","Social|Email",41,4,5600,1700,460,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13400
"Acquisition","B2C","SEA|Social",27,5,13100,2310,630,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21400
"Awareness","B2B","PR|LinkedIn",38,3,3650,1225,335,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10300
"Retention","GenZ","App|Push",30,4,3120,675,250,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8650
"Launch","B2C","Social|Influencer",23,6,18100,4410,1180,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,30300
"Acquisition","B2C","SEA|Social",30,5,11900,2450,590,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,17700
"Awareness","B2C","Social|Display",27,4,6900,1450,390,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,10900
"Retention","SMB","Email|CRM",59,2,1450,590,195,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",5,4350
"Launch","B2B","LinkedIn|Events",89,6,13700,9700,1470,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",12,35000
"Branding","GenZ","TikTok|Influencer",33,4,9150,2080,495,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",9,15300
"Acquisition","B2C","SEA|Display",26,5,10750,1740,445,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",8,16150
"Awareness","B2B","PR|LinkedIn",43,3,4850,1160,295,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",7,9250
"Retention","B2C","Email|SMS",22,3,1775,490,155,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5150
"Launch","SMB","Email|SEA",43,5,15700,3380,775,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",11,27400
"Branding","Millennials","Social|Events",58,6,9750,5850,885,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",10,22500
"Acquisition","B2B","LinkedIn|Email",47,5,19500,3875,985,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",12,31800
"Awareness","B2C","Radio|Social",24,3,4450,895,215,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9650
"Retention","SMB","Support|Email",81,2,975,305,113,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4125
"Launch","B2B","Events|PR",117,8,29700,21750,3175,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,81600
